('1249', 'citrus fruit')
('4799', 'frozen fish')
('1004', 'dish cleaner')
('1147', 'soda')
('1147', 'whole milk')
('1897', 'cream cheese ')
('1897', 'rolls/buns')
('2040', 'packaged fruit/vegetables')
('2470', 'white bread')
('3864', 'other vegetables')
('3864', 'cooking chocolate')
('4456', 'specialty bar')
('4456', 'soda')
('4567', 'whipped/sour cream')
('4567', 'red/blush wine')
('4574', 'bottled water')
('4628', 'napkins')
('4721', 'cream cheese ')
('4721', 'semi-finished bread')
('4747', 'pastry')
('4943', 'finished products')
('1590', 'newspapers')
('1863', 'bottled beer')
('1863', 'seasonal products')
('1879', 'whole milk')
('1879', 'sugar')
('2093', 'napkins')
('2379', 'berries')
('2881', 'butter milk')
('2949', 'pork')
('3111', 'UHT-milk')
('3963', 'domestic eggs')
('4694', 'tropical fruit')
('4694', 'whipped/sour cream')
('4872', 'whole milk')
('4872', 'soda')
('1317', 'onions')
('1456', 'hygiene articles')
('1770', 'butter')
('1770', 'mayonnaise')
('2035', 'jam')
('3232', 'soda')
('3498', 'pip fruit')
('4082', 'yogurt')
('4251', 'root vegetables')
('4251', 'ice cream')
('4251', 'rolls/buns')
('4270', 'nut snack')
('4270', 'whole milk')
('4306', 'cream cheese ')
('4306', 'misc. beverages')
('4721', 'processed cheese')
('4721', 'specialty bar')
('4870', 'bottled water')
('1291', 'onions')
('1291', 'mustard')
('1417', 'yogurt')
('1417', 'frozen meals')
('1759', 'pet care')
('1759', 'dog food')
('2834', 'sliced cheese')
('2933', 'soda')
('2933', 'seasonal products')
('3172', 'newspapers')
('3322', 'pip fruit')
('3524', 'margarine')
('3524', 'semi-finished bread')
('3628', 'chocolate marshmallow')
('3628', 'yogurt')
('3694', 'dessert')
('3694', 'dish cleaner')
('3722', 'whole milk')
('3841', 'specialty cheese')
('3841', 'brown bread')
('3882', 'hard cheese')
('4130', 'newspapers')
('4375', 'chicken')
('4375', 'domestic eggs')
('4376', 'pork')
('4933', 'whole milk')
('4933', 'root vegetables')
('1374', 'sugar')
('1374', 'cream cheese ')
('1587', 'hygiene articles')
('1587', 'skin care')
('1827', 'pastry')
('2515', 'misc. beverages')
('2515', 'shopping bags')
('2528', 'soda')
('2528', 'butter')
('2591', 'beverages')
('2675', 'UHT-milk')
('2675', 'cling film/bags')
('2765', 'herbs')
('2765', 'whipped/sour cream')
('3219', 'tropical fruit')
('3407', 'cream cheese ')
('3407', 'bottled beer')
('3475', 'whole milk')
('3846', 'dental care')
('3863', 'turkey')
('3863', 'shopping bags')
('4201', 'whipped/sour cream')
('4277', 'pip fruit')
('4342', 'ham')
('4342', 'whole milk')
('4523', 'specialty chocolate')
('4523', 'domestic eggs')
('4559', 'rolls/buns')
('4938', 'dessert')
('1018', 'curd')
('1442', 'specialty bar')
('1548', 'long life bakery product')
('1694', 'dessert')
('1694', 'long life bakery product')
('1738', 'rolls/buns')
('1910', 'sliced cheese')
('2138', 'bottled water')
('2138', 'whisky')
('2243', 'tropical fruit')
('2453', 'salty snack')
('2453', 'napkins')
('3119', 'whole milk')
('3462', 'dessert')
('3617', 'liquor (appetizer)')
('3617', 'candy')
('3617', 'misc. beverages')
('3687', 'rolls/buns')
('3687', 'other vegetables')
('4060', 'domestic eggs')
('4060', 'napkins')
('4234', 'berries')
('4234', 'beverages')
('4234', 'pastry')
('4234', 'napkins')
('4300', 'citrus fruit')
('4501', 'brown bread')
('4501', 'processed cheese')
('4749', 'finished products')
('4749', 'dessert')
('4797', 'white wine')
('4900', 'whole milk')
('4900', 'root vegetables')
('1167', 'rolls/buns')
('1167', 'other vegetables')
('1169', 'soda')
('1209', 'sausage')
('1209', 'dessert')
('1235', 'soda')
('1868', 'yogurt')
('1889', 'whole milk')
('1981', 'whole milk')
('2391', 'whole milk')
('2391', 'misc. beverages')
('2428', 'domestic eggs')
('2499', 'other vegetables')
('2499', 'ice cream')
('2499', 'shopping bags')
('1369', 'sugar')
('1369', 'flour')
('1813', 'meat')
('1964', 'soda')
('1964', 'brown bread')
('2239', 'curd')
('2242', 'frozen vegetables')
('2560', 'shopping bags')
('2560', 'other vegetables')
('2668', 'whole milk')
('2668', 'other vegetables')
('2766', 'pork')
('2766', 'long life bakery product')
('4020', 'whole milk')
('4020', 'frozen potato products')
('4426', 'berries')
('4426', 'pip fruit')
('4453', 'rolls/buns')
('4753', 'whole milk')
('4814', 'pip fruit')
('1051', 'hamburger meat')
('1051', 'bottled beer')
('1443', 'hamburger meat')
('1483', 'meat')
('1483', 'pip fruit')
('1779', 'newspapers')
('1956', 'nut snack')
('1956', 'butter')
('1961', 'frozen vegetables')
('2148', 'soda')
('2148', 'canned beer')
('2927', 'rolls/buns')
('3482', 'root vegetables')
('3482', 'soda')
('3789', 'rolls/buns')
('4002', 'domestic eggs')
('4065', 'brown bread')
('4067', 'specialty chocolate')
('4355', 'pip fruit')
('4836', 'whipped/sour cream')
('4836', 'cream cheese ')
('4860', 'pastry')
('4860', 'fruit/vegetable juice')
('1065', 'tropical fruit')
('1065', 'whole milk')
('1065', 'rum')
('1608', 'fruit/vegetable juice')
('1859', 'soda')
('2076', 'softener')
('2076', 'salty snack')
('2384', 'fruit/vegetable juice')
('2463', 'soda')
('2541', 'soda')
('2541', 'specialty bar')
('2545', 'citrus fruit')
('2564', 'rolls/buns')
('2564', 'root vegetables')
('2919', 'rolls/buns')
('2919', 'curd')
('3160', 'red/blush wine')
('3160', 'shopping bags')
('3246', 'pot plants')
('3246', 'frozen vegetables')
('3246', 'coffee')
('3344', 'yogurt')
('3361', 'bottled beer')
('4086', 'pastry')
('4086', 'napkins')
('4143', 'pastry')
('4206', 'rolls/buns')
('4321', 'yogurt')
('4362', 'rolls/buns')
('4550', 'chicken')
('4550', 'long life bakery product')
('4858', 'detergent')
('1052', 'grapes')
('1139', 'soft cheese')
('1169', 'other vegetables')
('1169', 'rolls/buns')
('1351', 'detergent')
('1351', 'coffee')
('1574', 'whole milk')
('1574', 'flour')
('1591', 'frozen meals')
('2347', 'canned beer')
('2355', 'chocolate')
('3554', 'make up remover')
('3782', 'pip fruit')
('4243', 'sugar')
('4762', 'whole milk')
('1054', 'soda')
('1194', 'whole milk')
('1194', 'honey')
('1476', 'yogurt')
('1476', 'coffee')
('1961', 'yogurt')
('2332', 'soft cheese')
('2520', 'canned fruit')
('2716', 'curd cheese')
('2738', 'brown bread')
('2738', 'sugar')
('2851', 'rolls/buns')
('2851', 'misc. beverages')
('3221', 'soda')
('3221', 'house keeping products')
('3222', 'rolls/buns')
('3566', 'hygiene articles')
('3697', 'shopping bags')
('3848', 'frozen vegetables')
('4646', 'whole milk')
('4646', 'shopping bags')
('4803', 'whole milk')
('1316', 'rolls/buns')
('1316', 'whipped/sour cream')
('1360', 'frankfurter')
('1613', 'pastry')
('1743', 'frankfurter')
('1798', 'pip fruit')
('1798', 'pastry')
('2134', 'bottled water')
('2340', 'meat')
('2340', 'yogurt')
('2431', 'processed cheese')
('2431', 'whole milk')
('2431', 'soda')
('2746', 'hamburger meat')
('2746', 'brown bread')
('2855', 'yogurt')
('2855', 'coffee')
('2905', 'brown bread')
('2980', 'other vegetables')
('2980', 'bottled beer')
('3054', 'semi-finished bread')
('3595', 'other vegetables')
('3595', 'curd')
('4182', 'sliced cheese')
('4250', 'pet care')
('4303', 'sugar')
('4303', 'shopping bags')
('4303', 'instant coffee')
('4392', 'pork')
('1275', 'domestic eggs')
('1275', 'butter milk')
('1462', 'salty snack')
('1682', 'newspapers')
('1797', 'chocolate marshmallow')
('1816', 'cake bar')
('2091', 'vinegar')
('2390', 'other vegetables')
('2391', 'citrus fruit')
('2391', 'whipped/sour cream')
('2413', 'whole milk')
('2413', 'cat food')
('2816', 'chewing gum')
('2816', 'frozen vegetables')
('3348', 'pickled vegetables')
('3516', 'dessert')
('3732', 'ice cream')
('4233', 'chicken')
('4233', 'packaged fruit/vegetables')
('4814', 'pickled vegetables')
('4814', 'yogurt')
('1003', 'frozen meals')
('1003', 'dental care')
('1438', 'yogurt')
('1561', 'onions')
('1569', 'pastry')
('2137', 'UHT-milk')
('2322', 'newspapers')
('2432', 'pickled vegetables')
('2446', 'margarine')
('2446', 'whipped/sour cream')
('2573', 'ham')
('3293', 'nuts/prunes')
('3512', 'butter milk')
('4292', 'pot plants')
('4299', 'dental care')
('4579', 'candles')
('4579', 'yogurt')
('4924', 'cereals')
('1036', 'fruit/vegetable juice')
('1036', 'vinegar')
('1069', 'rolls/buns')
('1196', 'shopping bags')
('1650', 'rolls/buns')
('1650', 'pasta')
('2011', 'whipped/sour cream')
('2051', 'meat')
('2106', 'pastry')
('2106', 'fruit/vegetable juice')
('2127', 'fruit/vegetable juice')
('2325', 'whole milk')
('2602', 'cream cheese ')
('2602', 'whole milk')
('3378', 'mayonnaise')
('3410', 'shopping bags')
('3410', 'cream cheese ')
('3639', 'tropical fruit')
('3639', 'whipped/sour cream')
('3656', 'dental care')
('3890', 'newspapers')
('3890', 'sliced cheese')
('4329', 'pastry')
('4329', 'bottled water')
('4329', 'candles')
('4406', 'pork')
('4671', 'sausage')
('4671', 'flower (seeds)')
('4685', 'soft cheese')
('4685', 'pip fruit')
('4698', 'specialty chocolate')
('4698', 'white bread')
('4944', 'organic sausage')
('4991', 'processed cheese')
('1661', 'tidbits')
('2120', 'napkins')
('2246', 'newspapers')
('2261', 'oil')
('2482', 'misc. beverages')
('2573', 'soda')
('2779', 'red/blush wine')
('2779', 'whipped/sour cream')
('2779', 'specialty cheese')
('2806', 'newspapers')
('2806', 'long life bakery product')
('3010', 'rolls/buns')
('3010', 'root vegetables')
('3219', 'shopping bags')
('3219', 'whole milk')
('3315', 'frozen meals')
('3344', 'bottled water')
('3350', 'citrus fruit')
('3403', 'bottled water')
('3403', 'baking powder')
('3468', 'butter')
('3596', 'frozen vegetables')
('3596', 'curd cheese')
('3680', 'butter milk')
('4490', 'processed cheese')
('4490', 'whole milk')
('1697', 'sausage')
('1714', 'mustard')
('1714', 'zwieback')
('2241', 'butter')
('2241', 'brown bread')
('2328', 'grapes')
('3084', 'citrus fruit')
('3084', 'other vegetables')
('3104', 'white wine')
('3119', 'brown bread')
('3435', 'bottled water')
('3713', 'tropical fruit')
('3713', 'root vegetables')
('3764', 'other vegetables')
('3950', 'cat food')
('4036', 'cat food')
('4036', 'whipped/sour cream')
('4094', 'margarine')
('4234', 'fruit/vegetable juice')
('4234', 'oil')
('4234', 'detergent')
('4362', 'curd')
('4659', 'root vegetables')
('1065', 'hamburger meat')
('1065', 'soda')
('1336', 'domestic eggs')
('1336', 'napkins')
('1445', 'rolls/buns')
('1465', 'ham')
('1465', 'brown bread')
('1820', 'root vegetables')
('1895', 'onions')
('2688', 'sliced cheese')
('2727', 'fish')
('2801', 'root vegetables')
('2801', 'whole milk')
('2808', 'other vegetables')
('2967', 'canned beer')
('3090', 'chewing gum')
('3139', 'citrus fruit')
('3139', 'rum')
('3268', 'citrus fruit')
('3529', 'fruit/vegetable juice')
('3900', 'canned vegetables')
('3900', 'pasta')
('3960', 'baking powder')
('3967', 'hard cheese')
('4365', 'other vegetables')
('4365', 'UHT-milk')
('4464', 'coffee')
('4679', 'beef')
('4679', 'potato products')
('1278', 'root vegetables')
('1384', 'canned beer')
('1566', 'citrus fruit')
('1566', 'salt')
('1781', 'tropical fruit')
('1781', 'shopping bags')
('1822', 'dessert')
('2132', 'waffles')
('2461', 'bottled water')
('2461', 'pastry')
('3289', 'domestic eggs')
('3353', 'root vegetables')
('3353', 'sparkling wine')
('3530', 'napkins')
('3608', 'spread cheese')
('4066', 'hamburger meat')
('4589', 'pork')
('4589', 'yogurt')
('4759', 'chewing gum')
('4759', 'frozen vegetables')
('4815', 'coffee')
('4852', 'condensed milk')
('4852', 'waffles')
('1129', 'whole milk')
('1169', 'whole milk')
('1483', 'fruit/vegetable juice')
('1483', 'detergent')
('1483', 'yogurt')
('1699', 'hygiene articles')
('2148', 'cream cheese ')
('2232', 'domestic eggs')
('2232', 'dessert')
('2607', 'margarine')
('2607', 'misc. beverages')
('2718', 'root vegetables')
('3149', 'pastry')
('3149', 'napkins')
('3613', 'root vegetables')
('3613', 'shopping bags')
('3905', 'fruit/vegetable juice')
('3905', 'soft cheese')
('3945', 'pip fruit')
('4042', 'root vegetables')
('4110', 'chicken')
('4110', 'yogurt')
('4110', 'hygiene articles')
('4324', 'misc. beverages')
('1032', 'newspapers')
('1062', 'whole milk')
('1062', 'sauces')
('1161', 'beef')
('1161', 'bottled beer')
('1404', 'whole milk')
('1595', 'yogurt')
('1645', 'hygiene articles')
('1645', 'pastry')
('1917', 'sausage')
('1917', 'curd cheese')
('2178', 'beef')
('2178', 'salt')
('2355', 'canned beer')
('2355', 'whipped/sour cream')
('2475', 'cleaner')
('4453', 'hamburger meat')
('4721', 'tropical fruit')
('1662', 'fruit/vegetable juice')
('2389', 'hamburger meat')
('2515', 'hamburger meat')
('2515', 'tropical fruit')
('2725', 'hamburger meat')
('2725', 'soda')
('2941', 'rolls/buns')
('3009', 'yogurt')
('3284', 'dishes')
('3465', 'condensed milk')
('3465', 'long life bakery product')
('3486', 'whole milk')
('3486', 'whipped/sour cream')
('3552', 'frozen meals')
('4121', 'bottled water')
('4314', 'margarine')
('4314', 'whole milk')
('4435', 'root vegetables')
('4435', 'flour')
('4561', 'pastry')
('4561', 'berries')
('4797', 'soft cheese')
('1038', 'napkins')
('1159', 'light bulbs')
('1344', 'soda')
('1454', 'brown bread')
('1454', 'rolls/buns')
('1493', 'root vegetables')
('1817', 'dishes')
('2336', 'organic sausage')
('2339', 'bottled water')
('2430', 'pastry')
('2440', 'domestic eggs')
('2466', 'beef')
('2873', 'soda')
('2873', 'citrus fruit')
('2873', 'rolls/buns')
('3057', 'chicken')
('3057', 'pastry')
('3447', 'white bread')
('3447', 'frozen vegetables')
('3769', 'fruit/vegetable juice')
('3830', 'curd')
('3830', 'cling film/bags')
('3830', 'candy')
('3830', 'rolls/buns')
('4300', 'hamburger meat')
('4317', 'canned beer')
('4317', 'ice cream')
('4434', 'chewing gum')
('4434', 'coffee')
('4434', 'napkins')
('4563', 'baking powder')
('4670', 'mustard')
('4947', 'dishes')
('4963', 'canned fish')
('1074', 'detergent')
('1527', 'domestic eggs')
('1856', 'rolls/buns')
('1941', 'whole milk')
('1941', 'rolls/buns')
('1970', 'citrus fruit')
('1970', 'whipped/sour cream')
('2030', 'soap')
('2302', 'other vegetables')
('2302', 'whole milk')
('2540', 'cling film/bags')
('2557', 'rolls/buns')
('3045', 'other vegetables')
('3045', 'pet care')
('4140', 'waffles')
('4564', 'shopping bags')
('4564', 'whipped/sour cream')
('4779', 'root vegetables')
('1146', 'curd')
('1268', 'other vegetables')
('1268', 'margarine')
('1268', 'brown bread')
('1301', 'whipped/sour cream')
('1301', 'roll products ')
('1391', 'newspapers')
('1488', 'meat')
('1566', 'tropical fruit')
('1566', 'bottled beer')
('2199', 'coffee')
('2758', 'napkins')
('2909', 'domestic eggs')
('3115', 'cream cheese ')
('3115', 'other vegetables')
('3221', 'chocolate')
('3767', 'meat')
('3964', 'pastry')
('4073', 'berries')
('4242', 'brown bread')
('4372', 'pastry')
('4434', 'domestic eggs')
('4434', 'beverages')
('4513', 'shopping bags')
('4832', 'soda')
('4832', 'curd')
('4884', 'coffee')
('1148', 'long life bakery product')
('1297', 'yogurt')
('1367', 'whole milk')
('1367', 'bottled beer')
('1554', 'hygiene articles')
('1554', 'vinegar')
('1860', 'sausage')
('1905', 'soups')
('2303', 'grapes')
('2732', 'brown bread')
('2761', 'frozen vegetables')
('3015', 'bottled water')
('3131', 'long life bakery product')
('3131', 'yogurt')
('3184', 'semi-finished bread')
('3268', 'hamburger meat')
('3474', 'fruit/vegetable juice')
('3474', 'long life bakery product')
('3583', 'other vegetables')
('3583', 'ice cream')
('3769', 'yogurt')
('3769', 'domestic eggs')
('3769', 'white bread')
('4077', 'whole milk')
('4375', 'waffles')
('4400', 'butter milk')
('4443', 'other vegetables')
('4443', 'whole milk')
('4744', 'frankfurter')
('1809', 'hard cheese')
('1809', 'waffles')
('1878', 'dessert')
('1965', 'chewing gum')
('1965', 'yogurt')
('2202', 'sauces')
('2690', 'grapes')
('2755', 'beef')
('2755', 'whole milk')
('3120', 'beef')
('3120', 'whole milk')
('3156', 'whipped/sour cream')
('3156', 'soda')
('3220', 'canned beer')
('3243', 'pot plants')
('3663', 'rolls/buns')
('3663', 'roll products ')
('3758', 'domestic eggs')
('3805', 'semi-finished bread')
('4140', 'newspapers')
('4247', 'soda')
('4247', 'butter')
('4255', 'frankfurter')
('4548', 'UHT-milk')
('4548', 'other vegetables')
('4746', 'margarine')
('4887', 'soap')
('1180', 'frozen potato products')
('1180', 'whole milk')
('1791', 'tropical fruit')
('1791', 'bottled beer')
('1923', 'meat')
('1923', 'pip fruit')
('1939', 'rolls/buns')
('1939', 'whipped/sour cream')
('1996', 'domestic eggs')
('2036', 'whole milk')
('2036', 'soda')
('2215', 'curd')
('2435', 'sausage')
('2435', 'dessert')
('2505', 'fruit/vegetable juice')
('2505', 'frozen vegetables')
('3194', 'frozen vegetables')
('3289', 'hard cheese')
('3921', 'hard cheese')
('3921', 'coffee')
('4133', 'yogurt')
('4406', 'newspapers')
('4635', 'baking powder')
('4679', 'shopping bags')
('4947', 'frozen potato products')
('1033', 'frankfurter')
('1033', 'pastry')
('1118', 'frozen vegetables')
('1118', 'sliced cheese')
('1605', 'fruit/vegetable juice')
('1661', 'root vegetables')
('1661', 'whipped/sour cream')
('2094', 'whole milk')
('2139', 'other vegetables')
('2254', 'whipped/sour cream')
('2334', 'root vegetables')
('2334', 'soda')
('3442', 'rolls/buns')
('3787', 'pip fruit')
('3807', 'cat food')
('4045', 'beef')
('4045', 'rolls/buns')
('4132', 'yogurt')
('4132', 'bottled water')
('4297', 'whole milk')
('4297', 'shopping bags')
('4359', 'rolls/buns')
('4504', 'soups')
('4582', 'other vegetables')
('4656', 'frozen dessert')
('4656', 'oil')
('4683', 'cling film/bags')
('4690', 'chicken')
('4751', 'butter')
('4751', 'candy')
('4796', 'curd cheese')
('4796', 'Instant food products')
('4826', 'whole milk')
('4826', 'curd')
('1376', 'dessert')
('1376', 'pot plants')
('1546', 'white bread')
('1546', 'canned fish')
('1561', 'white bread')
('1706', 'yogurt')
('1777', 'margarine')
('1777', 'sugar')
('1999', 'white wine')
('2045', 'tropical fruit')
('2045', 'other vegetables')
('2049', 'other vegetables')
('2049', 'whole milk')
('2125', 'yogurt')
('2125', 'chewing gum')
('2125', 'oil')
('2709', 'bottled water')
('2868', 'soda')
('3011', 'other vegetables')
('3011', 'rolls/buns')
('3129', 'coffee')
('3249', 'dessert')
('3249', 'beverages')
('3414', 'bottled water')
('3476', 'pastry')
('3556', 'pork')
('3641', 'white bread')
('3641', 'bottled water')
('3786', 'berries')
('3786', 'pastry')
('3896', 'pip fruit')
('3896', 'spread cheese')
('4129', 'waffles')
('4129', 'napkins')
('4312', 'whole milk')
('4474', 'butter milk')
('4474', 'fruit/vegetable juice')
('4747', 'pip fruit')
('4747', 'soft cheese')
('1136', 'citrus fruit')
('1165', 'whole milk')
('1169', 'margarine')
('1246', 'yogurt')
('1445', 'other vegetables')
('1445', 'chocolate')
('1492', 'yogurt')
('1586', 'pip fruit')
('1805', 'tropical fruit')
('1805', 'citrus fruit')
('1959', 'softener')
('2608', 'tropical fruit')
('2608', 'cream cheese ')
('3030', 'citrus fruit')
('3321', 'butter')
('3411', 'other vegetables')
('3426', 'pork')
('3426', 'pip fruit')
('3629', 'other vegetables')
('3727', 'rolls/buns')
('3727', 'cat food')
('4015', 'rolls/buns')
('4015', 'shopping bags')
('4211', 'curd cheese')
('4468', 'bottled water')
('4468', 'soft cheese')
('4807', 'cream cheese ')
('1011', 'curd cheese')
('1011', 'pastry')
('1767', 'frankfurter')
('1811', 'canned beer')
('1811', 'other vegetables')
('1923', 'domestic eggs')
('1932', 'specialty chocolate')
('1932', 'onions')
('2063', 'brandy')
('2063', 'pastry')
('2068', 'yogurt')
('2068', 'specialty vegetables')
('2157', 'grapes')
('2157', 'chocolate marshmallow')
('2365', 'beef')
('2365', 'margarine')
('2605', 'other vegetables')
('2612', 'white bread')
('2612', 'newspapers')
('2742', 'cream cheese ')
('2807', 'newspapers')
('2862', 'kitchen towels')
('2862', 'shopping bags')
('3129', 'dessert')
('3468', 'whipped/sour cream')
('3895', 'cat food')
('3895', 'soda')
('3895', 'margarine')
('4371', 'domestic eggs')
('4645', 'butter')
('4772', 'whole milk')
('4772', 'sauces')
('4891', 'specialty bar')
('4891', 'dog food')
('4891', 'cream cheese ')
('4995', 'domestic eggs')
('1286', 'long life bakery product')
('1534', 'pastry')
('1565', 'rolls/buns')
('1609', 'soft cheese')
('1609', 'napkins')
('1733', 'zwieback')
('1922', 'bottled water')
('3119', 'tropical fruit')
('3119', 'flour')
('3213', 'chocolate marshmallow')
('3213', 'hard cheese')
('3425', 'pastry')
('3425', 'newspapers')
('3776', 'yogurt')
('3776', 'specialty chocolate')
('3795', 'yogurt')
('3795', 'pip fruit')
('3849', 'berries')
('3849', 'baking powder')
('4131', 'rolls/buns')
('4243', 'other vegetables')
('4243', 'chocolate')
('4251', 'ham')
('4251', 'whole milk')
('4408', 'shopping bags')
('4408', 'misc. beverages')
('4479', 'waffles')
('4626', 'root vegetables')
('4628', 'bottled water')
('4628', 'coffee')
('4820', 'other vegetables')
('4822', 'rolls/buns')
('4822', 'brown bread')
('4933', 'rolls/buns')
('4933', 'soda')
('1239', 'roll products ')
('1703', 'whole milk')
('1888', 'yogurt')
('1888', 'waffles')
('2098', 'fruit/vegetable juice')
('2241', 'pet care')
('2241', 'photo/film')
('2256', 'frozen vegetables')
('2408', 'shopping bags')
('2451', 'domestic eggs')
('2581', 'canned beer')
('2581', 'curd')
('2649', 'shopping bags')
('2663', 'waffles')
('2704', 'whole milk')
('2704', 'bottled beer')
('2726', 'cream cheese ')
('2857', 'whipped/sour cream')
('2869', 'bottled beer')
('2869', 'brown bread')
('2937', 'pork')
('3617', 'brown bread')
('3721', 'specialty chocolate')
('4076', 'dessert')
('4297', 'UHT-milk')
('4699', 'sauces')
('4699', 'misc. beverages')
('1225', 'pastry')
('1312', 'pip fruit')
('1312', 'skin care')
('1625', 'meat')
('1625', 'butter milk')
('1723', 'citrus fruit')
('1723', 'sweet spreads')
('1817', 'margarine')
('1817', 'whipped/sour cream')
('2049', 'ham')
('2443', 'pastry')
('2445', 'berries')
('2478', 'citrus fruit')
('2478', 'soda')
('2556', 'beef')
('2556', 'sparkling wine')
('2556', 'frozen fish')
('2808', 'cereals')
('2808', 'rolls/buns')
('2907', 'candy')
('2974', 'pastry')
('2974', 'waffles')
('3092', 'brown bread')
('3257', 'pastry')
('3257', 'yogurt')
('3257', 'bottled water')
('3417', 'rolls/buns')
('3417', 'whole milk')
('3509', 'beef')
('3529', 'condensed milk')
('3529', 'dental care')
('3984', 'other vegetables')
('4266', 'specialty bar')
('4266', 'roll products ')
('4305', 'flower (seeds)')
('4588', 'other vegetables')
('4588', 'mayonnaise')
('4588', 'dishes')
('4664', 'bottled water')
('4821', 'rolls/buns')
('1219', 'canned beer')
('1219', 'brown bread')
('1404', 'sweet spreads')
('1468', 'frozen dessert')
('1879', 'chocolate')
('1983', 'margarine')
('1983', 'bathroom cleaner')
('2144', 'curd')
('2177', 'female sanitary products')
('2240', 'shopping bags')
('2240', 'sugar')
('2243', 'frozen potato products')
('2298', 'root vegetables')
('2298', 'butter')
('2298', 'specialty bar')
('2912', 'whole milk')
('4241', 'soda')
('4416', 'other vegetables')
('4794', 'beverages')
('4952', 'whole milk')
('1126', 'rolls/buns')
('1126', 'whipped/sour cream')
('1487', 'butter')
('1487', 'cling film/bags')
('1817', 'whole milk')
('1817', 'bottled beer')
('1948', 'hamburger meat')
('2175', 'turkey')
('2175', 'whipped/sour cream')
('2175', 'butter')
('2343', 'whole milk')
('2343', 'whipped/sour cream')
('2343', 'soda')
('2789', 'salty snack')
('2893', 'hard cheese')
('2893', 'white wine')
('2907', 'root vegetables')
('2907', 'whipped/sour cream')
('2907', 'frozen potato products')
('2907', 'sugar')
('2923', 'yogurt')
('3180', 'other vegetables')
('3180', 'rolls/buns')
('3696', 'waffles')
('3731', 'shopping bags')
('3817', 'bottled water')
('3817', 'waffles')
('3970', 'processed cheese')
('4613', 'packaged fruit/vegetables')
('4771', 'citrus fruit')
('1302', 'shopping bags')
('1418', 'butter')
('1457', 'whole milk')
('1457', 'cat food')
('1486', 'candles')
('1945', 'oil')
('1945', 'fruit/vegetable juice')
('2086', 'root vegetables')
('2105', 'curd')
('2105', 'rolls/buns')
('2628', 'berries')
('2671', 'pip fruit')
('2671', 'white wine')
('3007', 'canned beer')
('3126', 'whole milk')
('3208', 'fruit/vegetable juice')
('3390', 'whole milk')
('3390', 'shopping bags')
('3499', 'sausage')
('3994', 'soft cheese')
('3994', 'onions')
('4066', 'whole milk')
('4132', 'Instant food products')
('4132', 'newspapers')
('4383', 'ice cream')
('4383', 'whole milk')
('4917', 'bottled beer')
('1279', 'butter')
('1494', 'rolls/buns')
('1621', 'waffles')
('1621', 'detergent')
