('Member_number', 'itemDescription')
('1004', 'cling film/bags')
('1473', 'hamburger meat')
('1473', 'rolls/buns')
('1544', 'other vegetables')
('1544', 'semi-finished bread')
('1544', 'shopping bags')
('2040', 'rolls/buns')
('2051', 'flour')
('2051', 'cream cheese ')
('2470', 'tropical fruit')
('2470', 'red/blush wine')
('2565', 'sausage')
('2565', 'sliced cheese')
('2674', 'root vegetables')
('2674', 'butter')
('4574', 'seasonal products')
('4574', 'other vegetables')
('4609', 'beef')
('4609', 'spices')
('4628', 'whole milk')
('4747', 'tropical fruit')
('4879', 'dessert')
('4879', 'fruit/vegetable juice')
('4943', 'other vegetables')
('1590', 'citrus fruit')
('1863', 'newspapers')
('1863', 'bottled water')
('2093', 'canned vegetables')
('2259', 'processed cheese')
('2259', 'roll products ')
('2379', 'brown bread')
('2881', 'canned vegetables')
('2949', 'other vegetables')
('2949', 'shopping bags')
('3111', 'oil')
('3963', 'candy')
('4221', 'bottled water')
('4221', 'frozen meals')
('4872', 'softener')
('4872', 'domestic eggs')
('1004', 'canned beer')
('1004', 'frozen fish')
('1317', 'specialty cheese')
('1456', 'liquor')
('2035', 'rice')
('3189', 'dish cleaner')
('3189', 'fruit/vegetable juice')
('3232', 'dessert')
('3498', 'root vegetables')
('3762', 'sliced cheese')
('3762', 'newspapers')
('4082', 'ham')
('4594', 'other vegetables')
('4594', 'tropical fruit')
('4870', 'soda')
('1291', 'sugar')
('1291', 'rolls/buns')
('1759', 'newspapers')
('2399', 'citrus fruit')
('2399', 'chocolate')
('2834', 'shopping bags')
('3172', 'whole milk')
('3322', 'soda')
('3524', 'frozen meals')
('3628', 'curd')
('3628', 'cream cheese ')
('3628', 'nut snack')
('3628', 'female sanitary products')
('3694', 'whole milk')
('3722', 'syrup')
('3882', 'sweet spreads')
('3911', 'other vegetables')
('3911', 'margarine')
('4130', 'root vegetables')
('4130', 'semi-finished bread')
('4130', 'canned beer')
('4376', 'cereals')
('1284', 'salty snack')
('1284', 'soups')
('1374', 'bottled water')
('1827', 'soda')
('1832', 'spread cheese')
('1832', 'specialty chocolate')
('2515', 'yogurt')
('2528', 'sausage')
('2591', 'soda')
('2666', 'root vegetables')
('2666', 'UHT-milk')
('2765', 'grapes')
('2927', 'packaged fruit/vegetables')
('2927', 'popcorn')
('3142', 'pasta')
('3142', 'cream cheese ')
('3219', 'waffles')
('3382', 'candy')
('3382', 'tropical fruit')
('3382', 'rolls/buns')
('3407', 'bottled water')
('3475', 'canned fish')
('3846', 'canned vegetables')
('3863', 'frozen dessert')
('3957', 'salty snack')
('3957', 'newspapers')
('4104', 'white wine')
('4104', 'coffee')
('4201', 'pip fruit')
('4277', 'butter')
('4432', 'root vegetables')
('4432', 'butter')
('4559', 'frozen vegetables')
('4938', 'brown bread')
('1018', 'long life bakery product')
('1442', 'candles')
('1548', 'bottled beer')
('1664', 'rolls/buns')
('1664', 'misc. beverages')
('1664', 'soda')
('1694', 'tropical fruit')
('1694', 'rolls/buns')
('1738', 'yogurt')
('1910', 'sugar')
('2232', 'beef')
('2232', 'flour')
('2243', 'meat')
('2243', 'yogurt')
('2243', 'candles')
('2453', 'sugar')
('3119', 'meat')
('3119', 'yogurt')
('3462', 'citrus fruit')
('3462', 'other vegetables')
('3462', 'bottled beer')
('3709', 'pastry')
('3709', 'syrup')
('4060', 'other vegetables')
('4300', 'yogurt')
('4797', 'rolls/buns')
('1130', 'margarine')
('1130', 'soda')
('1148', 'soda')
('1148', 'other vegetables')
('1169', 'detergent')
('1235', 'bottled water')
('1307', 'other vegetables')
('1307', 'rolls/buns')
('1868', 'whole milk')
('1889', 'soups')
('1981', 'fruit/vegetable juice')
('2428', 'other vegetables')
('2428', 'semi-finished bread')
('2499', 'beverages')
('4066', 'fruit/vegetable juice')
('4066', 'chewing gum')
('4510', 'whole milk')
('4510', 'cream cheese ')
('1743', 'root vegetables')
('1743', 'whipped/sour cream')
('1743', 'specialty bar')
('1813', 'chocolate')
('1813', 'brown bread')
('2239', 'yogurt')
('2242', 'butter')
('3031', 'whole milk')
('3031', 'specialty bar')
('3493', 'beef')
('3493', 'candy')
('3837', 'newspapers')
('3837', 'bottled water')
('3837', 'hard cheese')
('4453', 'oil')
('4614', 'sausage')
('4614', 'newspapers')
('4753', 'white wine')
('4814', 'bottled beer')
('4814', 'other vegetables')
('1443', 'dessert')
('1779', 'citrus fruit')
('1821', 'coffee')
('1821', 'butter milk')
('1961', 'sugar')
('2383', 'pork')
('2383', 'yogurt')
('2927', 'hygiene articles')
('3482', 'oil')
('3539', 'photo/film')
('3539', 'bottled beer')
('3789', 'bottled water')
('4002', 'seasonal products')
('4002', 'flour')
('4065', 'pastry')
('4067', 'whole milk')
('4355', 'whole milk')
('4681', 'bottled water')
('1065', 'long life bakery product')
('1311', 'other vegetables')
('1311', 'rolls/buns')
('1608', 'ice cream')
('1859', 'chewing gum')
('2294', 'whole milk')
('2294', 'whipped/sour cream')
('2384', 'semi-finished bread')
('2384', 'rolls/buns')
('2384', 'tropical fruit')
('2463', 'berries')
('2545', 'onions')
('2564', 'long life bakery product')
('3291', 'butter milk')
('3291', 'newspapers')
('3344', 'rolls/buns')
('3361', 'white wine')
('4086', 'semi-finished bread')
('4086', 'dishes')
('4143', 'other vegetables')
('4321', 'soda')
('4362', 'yogurt')
('4362', 'domestic eggs')
('4362', 'fruit/vegetable juice')
('4858', 'misc. beverages')
('1052', 'root vegetables')
('1139', 'tropical fruit')
('1351', 'tropical fruit')
('1351', 'rolls/buns')
('1591', 'bottled beer')
('2160', 'margarine')
('2160', 'rolls/buns')
('2347', 'sausage')
('2355', 'yogurt')
('3554', 'white bread')
('3782', 'curd')
('4243', 'napkins')
('4762', 'pip fruit')
('1054', 'fruit/vegetable juice')
('1194', 'bottled water')
('1961', 'tropical fruit')
('2118', 'butter milk')
('2118', 'frozen vegetables')
('2237', 'flower (seeds)')
('2237', 'sliced cheese')
('2237', 'soups')
('2332', 'rolls/buns')
('2520', 'newspapers')
('2716', 'rolls/buns')
('2738', 'pickled vegetables')
('2738', 'pastry')
('3221', 'bottled water')
('3222', 'sliced cheese')
('3566', 'other vegetables')
('3697', 'sausage')
('3848', 'root vegetables')
('4803', 'pickled vegetables')
('1013', 'hard cheese')
('1013', 'napkins')
('1013', 'bottled water')
('1360', 'ketchup')
('1613', 'tropical fruit')
('1698', 'yogurt')
('2134', 'soda')
('2340', 'soda')
('2340', 'red/blush wine')
('2431', 'domestic eggs')
('2905', 'waffles')
('2980', 'cleaner')
('3054', 'waffles')
('4182', 'whole milk')
('4250', 'yogurt')
('4392', 'other vegetables')
('1162', 'white bread')
('1162', 'yogurt')
('1275', 'frozen potato products')
('1275', 'shopping bags')
('1462', 'sugar')
('1682', 'other vegetables')
('1797', 'other vegetables')
('1816', 'jam')
('2091', 'photo/film')
('2353', 'soda')
('2353', 'cereals')
('2816', 'citrus fruit')
('2816', 'margarine')
('2850', 'organic sausage')
('2850', 'UHT-milk')
('2909', 'frozen fish')
('2909', 'whole milk')
('3348', 'other vegetables')
('3348', 'soda')
('3349', 'rolls/buns')
('3349', 'liquor')
('3349', 'curd')
('3349', 'other vegetables')
('3516', 'rolls/buns')
('3732', 'fruit/vegetable juice')
('4233', 'soda')
('4505', 'tropical fruit')
('4505', 'other vegetables')
('4978', 'pork')
('4978', 'grapes')
('1438', 'whole milk')
('1438', 'shopping bags')
('1561', 'cream cheese ')
('1569', 'rolls/buns')
('1755', 'whole milk')
('1755', 'soda')
('2137', 'hard cheese')
('2244', 'finished products')
('2244', 'canned fish')
('2322', 'sweet spreads')
('2432', 'tropical fruit')
('2446', 'finished products')
('2573', 'Instant food products')
('2615', 'frozen vegetables')
('2615', 'bottled water')
('2806', 'whipped/sour cream')
('2806', 'canned beer')
('2893', 'other vegetables')
('2893', 'rolls/buns')
('3025', 'hamburger meat')
('3025', 'cat food')
('3293', 'vinegar')
('3396', 'cream cheese ')
('3396', 'whole milk')
('3474', 'rolls/buns')
('3474', 'curd')
('3512', 'other vegetables')
('4292', 'whipped/sour cream')
('4299', 'other vegetables')
('4299', 'tidbits')
('4579', 'whole milk')
('4924', 'pastry')
('1069', 'pork')
('1196', 'pip fruit')
('1650', 'coffee')
('1650', 'detergent')
('2011', 'fruit/vegetable juice')
('2051', 'rolls/buns')
('2127', 'whole milk')
('2325', 'long life bakery product')
('2663', 'canned beer')
('2663', 'tropical fruit')
('2663', 'kitchen towels')
('3378', 'pork')
('3639', 'hygiene articles')
('3656', 'canned beer')
('3695', 'frozen vegetables')
('3695', 'pastry')
('4406', 'cream cheese ')
('4698', 'prosecco')
('4698', 'rolls/buns')
('4944', 'salty snack')
('4944', 'white bread')
('4991', 'hygiene articles')
('1661', 'pip fruit')
('2120', 'soda')
('2246', 'bottled beer')
('2246', 'soda')
('2258', 'seasonal products')
('2258', 'butter')
('2258', 'ice cream')
('2261', 'tropical fruit')
('2482', 'pip fruit')
('2482', 'vinegar')
('2573', 'pastry')
('2779', 'abrasive cleaner')
('3315', 'whole milk')
('3320', 'hamburger meat')
('3320', 'rolls/buns')
('3344', 'canned beer')
('3350', 'baking powder')
('3403', 'UHT-milk')
('3468', 'dish cleaner')
('3596', 'rolls/buns')
('3680', 'hamburger meat')
('4216', 'other vegetables')
('4216', 'brown bread')
('4364', 'turkey')
('4400', 'rolls/buns')
('4400', 'shopping bags')
('4490', 'domestic eggs')
('4490', 'bottled water')
('4504', 'misc. beverages')
('4504', 'other vegetables')
('4504', 'rolls/buns')
('4504', 'brown bread')
('1697', 'butter')
('2328', 'bottled beer')
('2328', 'candy')
('3104', 'root vegetables')
('3119', 'salty snack')
('3435', 'other vegetables')
('3764', 'frozen vegetables')
('3950', 'white bread')
('4094', 'onions')
('4234', 'other vegetables')
('4362', 'chewing gum')
('4659', 'white wine')
('4812', 'tropical fruit')
('4812', 'rolls/buns')
('1005', 'whipped/sour cream')
('1005', 'margarine')
('1336', 'rolls/buns')
('1445', 'pip fruit')
('1820', 'butter milk')
('1895', 'whipped/sour cream')
('1908', 'sauces')
('1908', 'shopping bags')
('2341', 'root vegetables')
('2341', 'beef')
('2688', 'brown bread')
('2688', 'roll products ')
('2727', 'fruit/vegetable juice')
('2808', 'white bread')
('2967', 'flower (seeds)')
('3090', 'other vegetables')
('3255', 'bottled beer')
('3255', 'semi-finished bread')
('3268', 'white bread')
('3529', 'other vegetables')
('3678', 'curd')
('3678', 'specialty bar')
('3960', 'frozen potato products')
('3967', 'rolls/buns')
('4391', 'canned fish')
('4391', 'salty snack')
('4464', 'rolls/buns')
('4660', 'pork')
('4660', 'specialty chocolate')
('4680', 'white wine')
('4680', 'chocolate marshmallow')
('4925', 'whipped/sour cream')
('4925', 'brown bread')
('4925', 'sparkling wine')
('1009', 'canned fish')
('1009', 'cocoa drinks')
('1278', 'newspapers')
('1384', 'domestic eggs')
('1822', 'semi-finished bread')
('2132', 'whole milk')
('2132', 'chocolate')
('3289', 'other vegetables')
('3353', 'yogurt')
('3369', 'specialty bar')
('3369', 'rolls/buns')
('3530', 'rolls/buns')
('3608', 'house keeping products')
('4066', 'sliced cheese')
('4479', 'rolls/buns')
('4479', 'soda')
('4589', 'candy')
('4759', 'root vegetables')
('4815', 'cat food')
('1129', 'baking powder')
('1169', 'waffles')
('1169', 'white bread')
('1237', 'butter milk')
('1237', 'hard cheese')
('1277', 'butter')
('1277', 'brown bread')
('1483', 'snack products')
('1699', 'liquor (appetizer)')
('2259', 'candy')
('2259', 'soda')
('2718', 'Instant food products')
('3149', 'whipped/sour cream')
('3945', 'rolls/buns')
('4042', 'domestic eggs')
('4110', 'brown bread')
('4324', 'chicken')
('1032', 'whipped/sour cream')
('1161', 'newspapers')
('1404', 'cleaner')
('1595', 'other vegetables')
('1672', 'sausage')
('1672', 'white bread')
('2475', 'citrus fruit')
('4658', 'canned beer')
('4721', 'fruit/vegetable juice')
('1662', 'rolls/buns')
('1662', 'sugar')
('2389', 'butter milk')
('2941', 'berries')
('3009', 'semi-finished bread')
('3284', 'oil')
('3465', 'shopping bags')
('3552', 'candy')
('3717', 'pip fruit')
('3717', 'frozen meals')
('3825', 'cream cheese ')
('3825', 'shopping bags')
('3899', 'soda')
('3899', 'whole milk')
('4121', 'whole milk')
('4279', 'berries')
('4279', 'butter milk')
('4458', 'pip fruit')
('4458', 'spread cheese')
('4485', 'dessert')
('4485', 'pastry')
('4494', 'root vegetables')
('4494', 'liquor')
('4797', 'whole milk')
('1038', 'margarine')
('1159', 'citrus fruit')
('1344', 'sliced cheese')
('1344', 'oil')
('1344', 'syrup')
('1817', 'pastry')
('1817', 'detergent')
('2065', 'soda')
('2065', 'other vegetables')
('2336', 'specialty chocolate')
('2339', 'chocolate')
('2430', 'margarine')
('2440', 'brown bread')
('2466', 'frozen meals')
('2715', 'newspapers')
('2715', 'napkins')
('2835', 'domestic eggs')
('2835', 'bottled water')
('3057', 'soda')
('3447', 'soda')
('3769', 'root vegetables')
('4300', 'soft cheese')
('4434', 'brown bread')
('4563', 'frozen fish')
('4670', 'whole milk')
('4947', 'dessert')
('4963', 'bottled beer')
('1074', 'candy')
('1329', 'canned beer')
('1329', 'whipped/sour cream')
('1329', 'misc. beverages')
('1527', 'other vegetables')
('1856', 'newspapers')
('2030', 'berries')
('2540', 'finished products')
('2540', 'bottled water')
('2557', 'bottled water')
('3045', 'dental care')
('4140', 'brown bread')
('4334', 'bottled beer')
('4334', 'whole milk')
('4349', 'rolls/buns')
('4349', 'hamburger meat')
('4779', 'pip fruit')
('1146', 'soft cheese')
('1391', 'bottled beer')
('1424', 'grapes')
('1424', 'long life bakery product')
('1488', 'UHT-milk')
('1522', 'whole milk')
('1522', 'margarine')
('1566', 'waffles')
('2132', 'sugar')
('2132', 'candy')
('2199', 'rolls/buns')
('2254', 'light bulbs')
('2254', 'frozen vegetables')
('2254', 'mustard')
('2254', 'napkins')
('2578', 'frozen fish')
('2578', 'whole milk')
('2758', 'dishes')
('2909', 'butter')
('3221', 'salty snack')
('3309', 'white bread')
('3309', 'domestic eggs')
('3767', 'pasta')
('3815', 'whole milk')
('3815', 'margarine')
('3815', 'rolls/buns')
('3964', 'root vegetables')
('4073', 'UHT-milk')
('4242', 'yogurt')
('4372', 'brown bread')
('4434', 'butter')
('4513', 'dessert')
('4513', 'soft cheese')
('4884', 'other vegetables')
('1148', 'root vegetables')
('1297', 'red/blush wine')
('1860', 'rolls/buns')
('1905', 'seasonal products')
('2164', 'pip fruit')
('2164', 'curd cheese')
('2303', 'decalcifier')
('2495', 'rolls/buns')
('2495', 'citrus fruit')
('2495', 'snack products')
('2732', 'grapes')
('2732', 'berries')
('2761', 'other vegetables')
('2761', 'shopping bags')
('3015', 'ham')
('3015', 'margarine')
('3184', 'packaged fruit/vegetables')
('3268', 'dish cleaner')
('3456', 'canned fish')
('3456', 'yogurt')
('3713', 'finished products')
('3713', 'berries')
('3769', 'rolls/buns')
('4077', 'coffee')
('4375', 'butter')
('4400', 'pet care')
('4616', 'pastry')
('4616', 'Instant food products')
('4715', 'sausage')
('4715', 'softener')
('4744', 'other vegetables')
('4924', 'sausage')
('4924', 'salty snack')
('1175', 'hamburger meat')
('1175', 'other vegetables')
('1809', 'root vegetables')
('1878', 'root vegetables')
('2202', 'coffee')
('2475', 'roll products ')
('2475', 'dishes')
('2690', 'rolls/buns')
('2717', 'fruit/vegetable juice')
('2755', 'fruit/vegetable juice')
('3107', 'rolls/buns')
('3107', 'whole milk')
('3120', 'newspapers')
('3220', 'salty snack')
('3243', 'whole milk')
('3663', 'frozen vegetables')
('3758', 'rolls/buns')
('3805', 'white bread')
('4140', 'curd')
('4255', 'margarine')
('4316', 'tropical fruit')
('4316', 'candy')
('4527', 'brown bread')
('4527', 'curd')
('4746', 'newspapers')
('4887', 'long life bakery product')
('1113', 'curd')
('1113', 'canned beer')
('1139', 'rolls/buns')
('1139', 'brown bread')
('1139', 'canned beer')
('1791', 'cake bar')
('1791', 'yogurt')
('1996', 'whipped/sour cream')
('2215', 'napkins')
('3194', 'tropical fruit')
('3289', 'sugar')
('4133', 'canned beer')
('4133', 'soda')
('4291', 'whole milk')
('4291', 'cream cheese ')
('4406', 'other vegetables')
('4635', 'root vegetables')
('4947', 'white wine')
('1118', 'bottled beer')
('1549', 'domestic eggs')
('1549', 'coffee')
('1549', 'pastry')
('1605', 'soda')
('1661', 'salty snack')
('2139', 'butter milk')
('2254', 'newspapers')
('2334', 'coffee')
('2906', 'whole milk')
('2906', 'butter')
('3254', 'whole milk')
('3254', 'other vegetables')
('3442', 'brandy')
('3787', 'pasta')
('3807', 'fruit/vegetable juice')
('4045', 'pip fruit')
('4132', 'shopping bags')
('4297', 'fruit/vegetable juice')
('4359', 'butter milk')
('4504', 'seasonal products')
('4582', 'specialty chocolate')
('4656', 'hamburger meat')
('4656', 'other vegetables')
('4683', 'domestic eggs')
('4690', 'butter')
('4796', 'rolls/buns')
('1706', 'soda')
('1999', 'brown bread')
('2045', 'soft cheese')
('2058', 'rolls/buns')
('2058', 'other vegetables')
('2125', 'soda')
('2204', 'other vegetables')
('2204', 'bottled beer')
('2584', 'whole milk')
('2584', 'curd')
('2584', 'bottled beer')
('2709', 'whole milk')
('2748', 'misc. beverages')
('2748', 'processed cheese')
('2868', 'salty snack')
('3011', 'frozen meals')
('3129', 'sweet spreads')
('3414', 'cream cheese ')
('3476', 'ice cream')
('3556', 'margarine')
('3896', 'misc. beverages')
('4312', 'cocoa drinks')
('1136', 'flower (seeds)')
('1165', 'frozen vegetables')
('1246', 'canned beer')
('1492', 'whole milk')
('1492', 'rolls/buns')
('1586', 'rolls/buns')
('1805', 'newspapers')
('1959', 'root vegetables')
('1972', 'bottled beer')
('1972', 'whipped/sour cream')
('2028', 'dessert')
('2028', 'flower (seeds)')
('2147', 'soda')
('2147', 'chocolate')
('2313', 'other vegetables')
('2313', 'dishes')
('3030', 'pastry')
('3030', 'dish cleaner')
('3321', 'sliced cheese')
('3344', 'tropical fruit')
('3344', 'cling film/bags')
('3411', 'dessert')
('3629', 'grapes')
('3727', 'beverages')
('4211', 'rolls/buns')
('4376', 'butter')
('4376', 'rolls/buns')
('4468', 'dishes')
('4468', 'chocolate')
('4807', 'pickled vegetables')
('1767', 'UHT-milk')
('1811', 'dessert')
('1811', 'pastry')
('1905', 'cat food')
('1905', 'butter')
('1923', 'tropical fruit')
('2093', 'whole milk')
('2093', 'other vegetables')
('2157', 'dishes')
('2199', 'citrus fruit')
('2605', 'pork')
('2605', 'yogurt')
('2605', 'white bread')
('2612', 'specialty bar')
('2742', 'coffee')
('2807', 'herbs')
('2807', 'rolls/buns')
('3438', 'citrus fruit')
('3438', 'rolls/buns')
('3468', 'yogurt')
('3895', 'yogurt')
('4371', 'chocolate')
('4645', 'chewing gum')
('4995', 'mayonnaise')
('1286', 'root vegetables')
('1379', 'whole milk')
('1379', 'root vegetables')
('1534', 'other vegetables')
('1565', 'chewing gum')
('1733', 'butter')
('1922', 'sugar')
('1995', 'frozen meals')
('1995', 'frozen dessert')
('2104', 'pastry')
('2104', 'domestic eggs')
('2104', 'bottled water')
('3094', 'whole milk')
('3094', 'brown bread')
('3094', 'soda')
('3213', 'soda')
('3393', 'whole milk')
('3393', 'frozen potato products')
('3776', 'whole milk')
('3776', 'UHT-milk')
('4131', 'onions')
('4243', 'white wine')
('4479', 'brown bread')
('4626', 'pastry')
('4628', 'curd')
('4820', 'male cosmetics')
('4933', 'white wine')
('4933', 'white bread')
('1239', 'waffles')
('1602', 'ice cream')
('1602', 'beef')
('1613', 'whole milk')
('1613', 'butter')
('1703', 'newspapers')
('1703', 'frozen vegetables')
('1932', 'citrus fruit')
('1932', 'cat food')
('2098', 'tropical fruit')
('2098', 'rolls/buns')
('2098', 'canned beer')
('2256', 'beef')
('2408', 'beverages')
('2451', 'candy')
('2649', 'bottled water')
('2663', 'other vegetables')
('2704', 'vinegar')
('2726', 'soft cheese')
('2857', 'yogurt')
('2869', 'bottled water')
('2907', 'white wine')
('2907', 'domestic eggs')
('2937', 'rolls/buns')
('3413', 'frankfurter')
('3413', 'hard cheese')
('3473', 'tropical fruit')
('3473', 'shopping bags')
('3617', 'fruit/vegetable juice')
('3704', 'soda')
('3704', 'candy')
('3721', 'brown bread')
('4076', 'other vegetables')
('4180', 'bottled beer')
('4180', 'canned beer')
('4957', 'whole milk')
('4957', 'bottled beer')
('1225', 'rolls/buns')
('1446', 'citrus fruit')
('1446', 'rolls/buns')
('2049', 'dessert')
('2443', 'pasta')
('2445', 'curd')
('2556', 'chewing gum')
('3092', 'yogurt')
('3101', 'frozen dessert')
('3101', 'newspapers')
('3257', 'soda')
('3509', 'bottled water')
('3529', 'curd')
('3984', 'soft cheese')
('4266', 'Instant food products')
('4305', 'tropical fruit')
('4353', 'rolls/buns')
('4353', 'root vegetables')
('4588', 'detergent')
('4664', 'citrus fruit')
('4821', 'grapes')
('4821', 'domestic eggs')
('1404', 'long life bakery product')
('1468', 'whole milk')
('1791', 'pastry')
('1791', 'bottled water')
('1879', 'dessert')
('2144', 'yogurt')
('2177', 'domestic eggs')
('2240', 'pastry')
('2298', 'domestic eggs')
('2912', 'yogurt')
('3090', 'whole milk')
('3090', 'margarine')
('3937', 'rolls/buns')
('3937', 'soda')
('4241', 'yogurt')
('4241', 'bottled water')
('4241', 'pot plants')
('4416', 'yogurt')
('4416', 'pastry')
('4794', 'root vegetables')
('4952', 'meat')
('1080', 'canned beer')
('1080', 'soda')
('1487', 'yogurt')
('1487', 'fruit/vegetable juice')
('1948', 'bottled water')
('1948', 'pastry')
('2789', 'curd')
('2923', 'specialty bar')
('2939', 'bottled water')
('2939', 'grapes')
('3216', 'other vegetables')
('3216', 'rolls/buns')
('3696', 'sparkling wine')
('3731', 'hard cheese')
('3817', 'rolls/buns')
('3970', 'berries')
('4613', 'pet care')
('4771', 'meat')
('4961', 'whole milk')
('4961', 'candy')
('1141', 'rolls/buns')
('1141', 'whole milk')
('1141', 'soda')
('1302', 'hard cheese')
('1302', 'yogurt')
('1418', 'cake bar')
('1418', 'pastry')
('1486', 'soda')
('1788', 'canned beer')
('1788', 'other vegetables')
('2086', 'bottled water')
('2628', 'candy')
('3007', 'frozen dessert')
('3126', 'sausage')
('3208', 'whole milk')
('3499', 'sugar')
('3933', 'hard cheese')
('3933', 'salty snack')
('4075', 'cream cheese ')
('4075', 'brown bread')
('4917', 'pastry')
('1279', 'oil')
('1494', 'bottled water')
('1597', 'frozen meals')
('1597', 'cake bar')
('1621', 'beef')
('1621', 'shopping bags')
('1648', 'newspapers')
('1895', 'specialty cheese')
('1896', 'newspapers')
('2116', 'fruit/vegetable juice')
('2222', 'grapes')
('2222', 'chewing gum')
('2222', 'curd cheese')
('2377', 'pastry')
('2421', 'rolls/buns')
('2746', 'dental care')
('2854', 'napkins')
('2890', 'shopping bags')
('2890', 'soda')
('2890', 'flour')
('3785', 'fruit/vegetable juice')
('3982', 'dessert')
('4633', 'onions')
('4633', 'specialty chocolate')
('4872', 'newspapers')
('1102', 'root vegetables')
('1342', 'napkins')
('1342', 'white bread')
('1575', 'newspapers')
('1783', 'yogurt')
('1929', 'curd')
('1929', 'soda')
('2153', 'soda')
('2153', 'shopping bags')
('2626', 'chocolate')
('2626', 'other vegetables')
('2693', 'coffee')
('2693', 'bottled water')
('2886', 'curd')
('2930', 'bottled water')
('3158', 'margarine')
('3158', 'processed cheese')
('3164', 'coffee')
('3502', 'coffee')
('3901', 'rolls/buns')
('3901', 'whole milk')
('3917', 'whipped/sour cream')
('3917', 'soda')
('4153', 'whole milk')
('4153', 'UHT-milk')
('4153', 'flour')
('4153', 'chocolate')
('4173', 'candy')
('4173', 'whipped/sour cream')
('4387', 'soda')
('4387', 'cream cheese ')
('4394', 'berries')
('1011', 'citrus fruit')
('1011', 'candy')
('1011', 'rolls/buns')
('1472', 'pork')
('1472', 'curd cheese')
('1751', 'whole milk')
('1751', 'candy')
('1881', 'root vegetables')
('1966', 'other vegetables')
('1966', 'meat spreads')
('1966', 'specialty cheese')
('1998', 'misc. beverages')
('1998', 'whipped/sour cream')
('2135', 'instant coffee')
('2156', 'soda')
('2156', 'chocolate')
('3080', 'yogurt')
('3080', 'domestic eggs')
('3400', 'rolls/buns')
('3714', 'other vegetables')
('3798', 'soda')
('3919', 'berries')
('3919', 'pastry')
('3960', 'root vegetables')
('3960', 'whipped/sour cream')
('3960', 'rolls/buns')
('4376', 'other vegetables')
('1193', 'soda')
('1193', 'shopping bags')
('2093', 'whipped/sour cream')
('2416', 'margarine')
('2439', 'packaged fruit/vegetables')
('2611', 'roll products ')
('2611', 'margarine')
('2719', 'hygiene articles')
('2792', 'mayonnaise')
('2792', 'brown bread')
('2796', 'whipped/sour cream')
('3022', 'rolls/buns')
('3612', 'flour')
('3612', 'seasonal products')
